p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,disease
10189,10197,10204,1026,10280,10436,10527,10574,10594,10808,10946,10980,10981,1192,1232,1524,1647,1973,1978,213,HIV Infections
4,10769,10810,10826,10950,11252,113,1191,122416,1390,139105,146225,1493,150094,153020,157922,1612,1647,1649,1839,Juvenile arthritis
10140,1019,1728,196,2026,2064,2149,22827,25,3082,30834,3265,3274,3458,3558,3592,3593,3832,3845,405,Neoplasms
5,1493,154064,25824,2833,3559,3627,4283,55014,64375,79465,0,0,0,0,0,0,0,0,0,Alopecia Areata
6,1244,1392,142,23328,23476,367,4524,54503,55806,6716,6832,7421,7538,8797,0,0,0,0,0,Alopecia
10911,11188,1129,134,1392,1565,1813,183,1906,1907,1908,2641,2771,2796,3350,3827,3972,4922,5173,5443,Bradycardia
115650,1380,23495,29851,4790,4791,5580,8742,930,931,975,987,100,204,3575,3718,5896,5897,64421,7037,Common Variable Immunodeficiency
133,1674,1675,183,2099,213,2833,3458,3553,3558,3559,3569,3576,3586,3606,3727,406892,406903,4803,4868,Glomerulonephritis
10150,10243,1136,1138,125,126,1312,145858,1571,217,23552,2488,2550,2555,2566,2626,2678,2693,27340,3356,Alcoholic Intoxication Chronic
1543,1544,196,1999,2252,23411,3162,3371,3569,4311,4803,4914,6347,6348,6351,7039,7099,7124,7132,80310,Lung diseases
10084,11141,116442,139411,1741,186,2245,23229,2664,282808,4128,4983,546,57526,641339,65109,6535,6855,7552,7592,Mental Retardation X Linked
1636,1906,196743,213,2147,2153,217,2833,335,3360,3383,3553,3557,3569,3613,3659,3674,3685,3690,4018,Cerebrovascular accident
1080,183,1906,1909,1910,2006,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,Diaphragmatic Hernia
1027,1786,2099,2100,2950,367,4502,5292,5728,7155,999,0,0,0,0,0,0,0,0,0,Prostatic Intraepithelial Neoplasias
2253,2619,2736,28514,4838,50937,5727,6469,6496,6997,7050,7546,84976,8928,0,0,0,0,0,0,Semilobar Holoprosencephaly
7,100188813,100188839,100302512,100302561,114781,192142,4211,450097,5443,5607,5789,643714,7018,0,0,0,0,0,0,Restless Legs Syndrome
10008,10021,23171,23493,3752,3764,54795,55800,6324,6331,6336,775,781,783,7871,0,0,0,0,0,Brugada Syndrome
8,10788,114801,130951,1369,147372,2151,219749,221711,2241,22871,23555,285362,30820,339559,401548,5592,57493,5784,63892,Hearing Loss Partial
1021,2034,2067,25913,2944,2950,2952,4297,4613,4968,6799,6817,7508,7518,9,0,0,0,0,0,Chromosome Aberrations
9,100188791,100270642,100270643,100270644,10665,11073,11262,115761,23451,23547,25797,25865,25913,26034,28444,29125,29949,3117,3394,Chronic Lymphocytic Leukemia
10,1146,2893,317761,388336,3908,4642,5095,54715,55748,56479,57369,5801,5923,6096,70,776,79698,9414,0,Refractive Errors
1234,1548,1576,23586,282617,3077,3440,3458,4015,4017,4023,4988,5788,949,975,0,0,0,0,0,Hepatitis C
10232,1027,1029,11186,1734,1956,1958,2099,2246,2247,2272,22827,23741,2475,2662,2719,2934,2944,324,3458,Mesothelioma
11,100996324,10111,101927027,101929507,102724748,11201,1431,149233,23040,23586,285626,353135,4255,48,4843,5141,51752,54922,55770,Inflammatory dermatosis
10371,128674,1848,2253,2260,23767,26012,3730,389549,54756,55636,55717,60675,6663,6870,81848,84634,8820,8822,9394,Kallmann Syndrome
11067,1174,12,2168,26471,3249,4047,427,440,5468,55062,6319,64838,6515,6876,79153,83729,8431,9415,0,Lipoidosis
12,1356,1374,153,1536,2335,23411,23671,346171,3630,3667,3799,3953,4217,4508,5443,5444,5468,547,5743,Diabetes Mellitus
10159,111,1134,1277,1278,1281,1440,150,152,154,1588,1634,183,207,213,2235,23411,284,3162,3553,Fibrosis
1066,1281,1489,1581,19,1906,255738,27035,3156,338,3383,348,3949,3952,4018,4023,4638,5444,6401,653361,Hypercholesterolemia
10059,10084,10293,10617,10733,11284,1778,2074,2290,26128,283989,284403,3796,3800,407975,4998,6513,6925,701,7283,Microcephaly
10763,10855,1649,1674,183,1906,1910,213,2147,3383,3689,5972,6647,7431,7827,0,0,0,0,0,Nephrosis
183,22808,2950,3162,348,356,5328,5420,6347,7157,9332,0,0,0,0,0,0,0,0,0,Carotid Artery Diseases
10084,10743,152330,1544,1788,1902,196,2074,2245,26277,2688,27125,282808,285590,3162,3480,3481,3483,4054,407975,Growth Disorders
114327,1181,2562,2566,50966,51305,773,8629,8912,9254,0,0,0,0,0,0,0,0,0,0,Absence Epilepsy
1268,2911,2912,2913,2914,2915,3749,3791,4514,4852,4887,5025,5027,57468,623,624,6505,6558,7010,7421,Epilepsy Temporal Lobe
10280,11255,1128,1139,1813,2558,28964,2925,3115,3350,3362,3363,3481,351,3553,3630,4012,4137,4192,4282,Memory Disorders
1268,134,1812,1813,183,2534,2641,4922,5443,5617,7054,7200,796,84152,885,0,0,0,0,0,Catalepsy
27030,2956,3845,4072,4292,4436,5290,5378,5395,6224,657,7048,9209,0,0,0,0,0,0,0,Hereditary Nonpolyposis Colorectal Cancer
10,9,10019,10221,1030,11173,116519,1401,1636,1952,2056,2099,2100,221692,22808,23293,23294,23564,255738,2784,Coronary Artery Disease
13,10529,10544,205,2147,2153,2160,2202,2243,2259,2266,23414,23555,254827,28,29922,3053,462,5327,54014,Venous Thromboembolism
10188,1050,1072,10897,10975,1124,121256,1373,140885,164395,166336,192286,1948,1950,217,2305,23302,23404,2495,25,Precancerous Conditions
14,10067,100861468,101927324,101929163,5,10745,11116,11262,114548,117289,1201,1401,144811,149233,150962,151306,157869,159296,163486,Crohn Disease
10401,1499,1956,2067,2261,2475,3115,3116,3280,4524,4851,4853,5457,5915,6774,7015,7472,7474,7528,81037,Uterine Cervical Neoplasm
1812,1813,1814,2354,2571,2643,2668,5173,5179,5923,7054,847,8787,885,9456,0,0,0,0,0,Dyskinesia
151507,216,22926,3119,319101,3822,5621,692157,7280,780851,79644,79974,8360,9108,0,0,0,0,0,0,Creutzfeldt Jakob disease
10939,140451,146057,2296,23152,25894,2672,342371,5521,5582,6310,6311,6314,6712,773,84991,0,0,0,0,Ataxia Spinocerebellar
1281,1571,3569,4088,4313,4353,53345,596,5970,6648,7040,7076,7124,79143,80339,847,1036,10840,10855,114757,Liver Cirrhosis Alcoholic
15,3552,3553,4508,4514,4519,4535,4536,4537,4538,4539,4540,4541,4556,6121,9227,0,0,0,0,Optic Atrophy Hereditary Leber
10140,1021,1027,1390,1524,1647,1956,257019,257101,2944,2947,3039,3040,3043,3045,3047,3689,3872,5008,51251,Chloracne
1374,1401,1535,1536,1555,1557,1636,1839,19,2056,213,2168,2194,2981,3156,3162,3479,3569,38,4481,Kidney Failure Chronic
10533,1280,1392,1831,2056,3440,3565,3586,3630,3976,4057,4852,5020,5443,54982,6647,9370,9474,0,0,Weight decreased
123263,1355,137682,1738,1892,374291,4508,4514,4535,4536,4537,4538,4540,4541,4566,4567,4577,4578,4695,4720,Leigh Disease
16,100188846,100188870,100188871,100188872,100188873,100188874,100188875,10019,100301522,101927156,101927840,101928376,10301,117289,1233,1493,150223,150962,154215,Celiac Disease
9,100287616,1029,1030,10587,120526,1301,144100,196294,23424,26610,2762,344148,4016,4638,51071,5373,54715,55133,60312,Glaucoma
10451,1813,196,2641,2778,2796,3360,3630,3952,3972,51083,590,6262,6343,7124,7200,7432,0,0,0,Tachycardia
11200,2099,324,4519,4556,4576,472,580,5888,672,675,7251,79728,83990,0,0,0,0,0,0,Breast Cancer
1158,134,1356,140,1958,2833,3162,3569,4846,5020,5111,5328,54205,5468,551,5601,581,59,5972,6275,Ischemia
1592,207,2328,26585,324,4163,4595,4913,5743,6648,0,0,0,0,0,0,0,0,0,0,Adenomatous Polyposis Coli
10618,163223,163882,1733,1734,3398,3399,3693,51454,6347,687,6926,0,0,0,0,0,0,0,0,Thyroid Diseases
17,1312,135,150,3630,387572,5317,54549,57101,57658,619493,677663,887,0,0,0,0,0,0,0,Panic Disorder
1139,1141,23171,3757,3764,3784,4535,4567,6324,6330,6331,6532,859,0,0,0,0,0,0,0,Sudden infant death syndrome
19,100306938,100306939,1029,10413,11200,1621,23095,238,26038,2778,3082,3265,3456,3845,389421,4004,401237,4233,4513,Neuroblastoma
10481,11200,2048,4477,4481,4683,6041,60528,6716,672,675,6928,999,0,0,0,0,0,0,0,Prostate cancer familial
1019,1040,10409,10653,10769,111,11151,11186,112802,1266,1289,1312,140738,1447,1448,1468,1622,1674,1848,1901,Stomach Neoplasms
10683,1280,1297,1301,2316,2321,2720,3339,3791,50964,59341,596,6399,7422,9719,0,0,0,0,0,Osteochondrodysplasias
10,10257,10568,10599,10769,1191,1244,126393,134,135,1437,1440,150684,1544,1559,1565,1571,1719,2053,213,Adverse reaction to drug
10939,1822,26278,3746,378884,4758,5274,54982,5621,57465,7248,7957,0,0,0,0,0,0,0,0,Myoclonic Epilepsies Progressive
10082,1147,1302,1404,2263,3207,3237,3238,3239,3664,407975,6299,6926,7042,775,8626,0,0,0,0,Limb Deformities Congenital
20,3680,4211,6331,6336,64762,6910,7481,83478,857,0,0,0,0,0,0,0,0,0,0,Electrocardiogram P R interval
11035,1277,1278,2209,29108,3357,3553,3606,3689,3717,3934,4046,4851,5777,632,6347,6693,6696,7076,729,Heart valve disease
21,1029,10549,10628,10892,10935,1213,2146,22872,238,2735,3106,355,4615,5170,5243,5290,5291,5293,5294,Diffuse Large B Cell Lymphoma
142,213,2149,2567,27232,3002,3162,3458,356,3630,400499,401237,5168,540,6678,7018,83851,847,89797,9817,Hepatitis
10549,23411,2444,3630,3643,407040,4508,5562,5563,5919,6558,79661,948,0,0,0,0,0,0,0,Impaired glucose tolerance
10059,10667,26235,4519,4567,4568,4573,4578,4720,4729,54968,55572,56947,91574,9997,0,0,0,0,0,Mitochondrial Encephalomyopathies
2554,2560,2566,2638,2752,4049,4128,4129,4842,4988,5591,706,7124,0,0,0,0,0,0,0,Hepatic Encephalopathy
22,100131395,100133941,100271694,100271695,100271696,100506047,10055,100616384,101927027,101927314,101928464,101928791,10198,10301,10461,10538,10636,10665,10892,Multiple Sclerosis
1153,351,4162,4803,5368,5443,5743,6863,6869,7124,796,81693,0,0,0,0,0,0,0,0,Neurogenic Inflammation
23,100188803,100188804,10019,100190928,100196918,100322878,100379200,3,100532732,100874048,1027,10318,10320,11277,1191,121260,1380,1389,1401,Lupus Erythematosus Systemic
10891,142,23411,2670,51024,5538,55669,6198,6855,7019,0,0,0,0,0,0,0,0,0,0,Ceroid lipofuscinosis neuronal 1 infantile
10491,1277,1278,5176,5479,60681,64175,649,7471,871,90993,10491,121340,1277,1278,5176,5479,55151,60681,6678,Osteogenesis imperfecta type III disorder
229,2919,3458,3558,3565,3567,3569,3578,3586,3596,3606,3952,50616,6347,6352,7040,716,0,0,0,Hepatitis Autoimmune
10,10013,100188789,10040,1012,10158,101669767,10207,10257,1026,10263,1027,10333,10397,10417,10439,10451,10481,10499,10516,Prostatic Neoplasms
126328,25915,29078,374291,4694,4709,4715,4719,4720,4722,4723,4724,4726,4728,4729,51103,55572,79133,80224,91942,NADHQ1 Oxidoreductase deficiency
10046,11336,132,139189,1768,23498,26585,285740,285943,29080,3200,3201,3284,3778,463,467,60678,6764,8887,0,Hypospadias
1010,1029,142,1437,1440,170679,170680,1728,1733,1838,2052,2261,23492,23495,23532,2952,3105,3315,3440,3569,Multiple Myeloma
24,10062,1051,123,1281,1571,1588,2147,2149,23411,26291,284111,2875,2876,3032,3087,3169,330,338,3440,Fatty Liver
1401,1437,3117,3123,3162,3458,3553,3569,3576,3586,3587,387582,6556,7124,0,0,0,0,0,0,Leishmaniasis Visceral
10309,115948,123872,161582,1767,1769,221421,23639,25981,27019,345643,345895,352909,388389,51364,54768,55036,55130,55172,56683,Kartagener Syndrome
25,102724068,108,10814,10815,1109,11320,1312,132160,1463,149465,157,160851,167681,1812,1816,22854,23345,23383,245,Bipolar Disorder
116443,1906,1909,4846,5617,596,598,6462,7422,7432,0,0,0,0,0,0,0,0,0,0,Erectile dysfunction
132884,23322,27077,51057,51259,54903,57096,57545,65062,79583,79848,79867,80184,80776,91147,0,0,0,0,0,Meckel Gruber syndrome
111,153,254251,284276,3077,4153,5168,5444,54901,8091,0,0,0,0,0,0,0,0,0,0,Birth Weight
100,100187724,100188314,100188317,100188816,100188820,100188832,1007,1008,101928890,10771,11141,11281,1137,1139,1141,114788,116442,116987,117583,Autistic Disorder
27,100302514,100918,1120,1375,1512,22891,3060,3062,3119,3123,386593,4340,494446,5032,5179,56342,6863,692229,692312,Narcolepsy
121278,1392,1440,2488,3350,3356,3440,3458,3552,3553,3558,3569,3576,374569,4598,4842,5443,5617,6648,7124,Fever
134,1906,2353,240,2920,3329,3383,3569,3572,3726,4318,467,4803,5327,5328,5337,56848,6347,6354,6648,Infarction Middle Cerebral Artery
10052,100528007,10451,1071,10911,10928,111,11255,114818,118,1187,119032,1215,1277,1281,128611,1395,1401,140733,143872,Hypertensive disease
28,1016,101928661,5,10981,114134,124460,1327,135138,144811,149233,283234,400757,4049,50514,5071,55509,6556,7096,7097,Leprosy
9,10019,100233226,10891,1152,1158,134,1385,1390,140,153090,1636,1649,183,1952,2056,2099,2147,2153,2162,Myocardial Infarction
213,2205,240,2944,3115,3119,3123,3176,3383,3553,3606,4353,6401,7040,7124,7412,0,0,0,0,Urticaria
151648,1636,183,1906,2100,2697,287,2992,3360,3757,3759,3827,4986,4987,54805,5502,551,5743,7200,775,Cardiac Arrhythmia
1356,148738,30061,3077,3240,4891,57817,650,654,6718,7036,7124,0,0,0,0,0,0,0,0,Hemochromatosis
10232,1029,11009,1209,1268,1269,1499,1616,1647,1806,1890,196,2030,2202,2258,23022,2494,2543,27086,28,Lymphoma
10216,117579,1280,207,23028,23476,2740,3091,3162,3315,3578,3596,3775,3949,4143,4318,4613,4780,4968,5290,Hyperplasia
10887,1268,1312,133,1392,1437,1440,1813,1906,207,213,23236,2643,27185,2902,3060,3082,3084,3231,3269,Pain
9,100307118,100307119,100307120,100307121,100307122,100307123,130540,26166,2736,353238,3569,378805,3852,3872,4157,434,51151,5727,5921,Carcinoma
10460,1555,1562,1956,2260,2261,3417,346288,4255,4792,5447,5468,6867,7157,7422,8216,0,0,0,0,gliosarcoma
1152,1158,1401,2023,2597,2923,2934,2950,3312,3329,338382,3690,3945,397,4318,462,5069,5444,5689,6648,Acute Coronary Syndrome
1001,11249,1301,1586,1675,186,221472,245972,2554,25789,266,283,2857,3549,391051,4237,4790,5071,51643,5195,Ovarian Diseases
10000,100196913,100329170,100507431,100528007,100528016,1012,101927134,101927279,101928630,101928882,10198,102724457,10274,10641,10659,10718,10752,10806,10814,Schizophrenia
100128977,10144,1832,23250,255520,5073,51750,5328,54472,6440,653509,7012,7015,727897,729238,79991,91039,0,0,0,Idiopathic Pulmonary Fibrosis
2253,2619,2736,28514,4838,50937,5727,6469,6496,6997,7050,7546,84976,8928,2253,2619,2736,28514,4838,50937,Holoprosencephaly
1675,1789,3075,3953,57724,713,718,720,727,731,732,735,7535,775,8547,916,948,0,0,0,Immunologic Deficiency Syndromes
131669,1356,1960,22,2554,2557,348980,372,4864,538,6334,6513,773,785,9254,0,0,0,0,0,Ataxia
10002,10210,10461,10594,123016,1258,1259,130557,138050,1406,145226,22926,23020,23418,23568,23746,24,24148,25794,26121,Retinitis Pigmentosa
1314,1409,1415,2091,2157,2213,23411,26191,2833,3156,3240,3263,3313,3458,355,3565,3569,3605,5175,5196,Autoimmune Diseases
1440,2984,3440,3552,3557,4057,4645,5697,6550,929,0,0,0,0,0,0,0,0,0,0,Diarrhea
1000,10059,10462,1052,10611,1075,10928,10959,10965,1153,117579,1326,1329,1375,1398,1401,1432,153,154,1634,Myocardial Ischemia
100188321,100188807,100188808,100188825,117191,118,1577,183,185,1889,2784,387575,444980,481,4843,4846,50986,51320,5740,6401,Essential Hypertension
1544,3953,4591,5184,5465,55315,8856,9474,9719,9970,0,0,0,0,0,0,0,0,0,0,Hepatomegaly
10367,10599,1376,1440,1508,213,2170,270,3094,3156,3363,3553,3630,383,4089,4128,440275,4549,4571,4572,Myopathy
1356,191,2,308,348,3569,3576,3586,4015,4017,438,4713,540,54949,5530,5532,5621,56899,57817,635,Hepatolenticular Degeneration
1055,158326,182,285590,30813,317,324,3340,55764,6469,657,658,7020,7042,7048,729920,0,0,0,0,Eye Abnormalities
10370,114907,1499,207,25937,2688,270,2932,3479,3757,6647,7274,84676,0,0,0,0,0,0,0,Muscular Atrophy
10367,1565,1813,1814,3356,5155,5159,5617,6575,80704,8622,9213,0,0,0,0,0,0,0,0,Basal Ganglia Diseases
1548,2903,3113,3115,3240,3439,3440,3455,3456,3458,3459,3588,4015,4017,6554,7332,0,0,0,0,Hepatitis B
100529262,100529264,10144,10411,11097,1136,1138,123688,132320,1543,1544,170679,170680,1740,192668,200373,2052,260431,283229,3066,Chronic Obstructive Airway Disease
100126572,100170841,10038,10057,10125,10129,1020,1022,10257,1029,10461,10561,10577,10592,10643,1066,1071,10732,10859,10891,Peripheral Neuropathy
10266,10569,11167,11217,114882,1268,140609,1509,1565,1783,1813,2199,2246,22919,23014,23022,23164,23365,23683,25932,Weight Gain
182,204,23562,2706,2707,375611,4089,4286,4549,494513,5077,5424,627,65217,776,83715,84947,9381,0,0,Deafness
10806,22897,26146,261734,27031,27130,4867,57728,80184,9657,0,0,0,0,0,0,0,0,0,0,Renal dysplasia and retinal aplasia disorder
100190790,100190791,10082,10814,1137,1141,114784,121278,1268,1312,143689,158067,1804,1813,1815,1816,200373,201134,2013,2245,Attention deficit hyperactivity disorder
10370,137814,140628,1482,182,2262,2296,2303,23414,2626,2627,2657,2702,6899,8829,8928,9464,0,0,0,Tetralogy of Fallot
1410,2056,23411,2495,2668,2878,2936,2944,2946,2948,2949,3060,3162,347,351,3569,3620,4137,4257,4803,Neurodegenerative Disorders
1012,1592,23373,2520,3082,3576,4170,5468,56475,5743,5970,6548,6750,81696,8854,8856,0,0,0,0,Barrett Esophagus
100288805,10082,10159,10238,10253,10265,10269,1055,10683,10743,11127,11285,113189,116442,1280,1301,1302,1404,1452,145258,Craniofacial Abnormalities
10327,11315,1839,2023,217,3313,333929,34,3957,4057,4843,4846,4942,51084,6648,6652,7099,0,0,0,Necrotizing Enterocolitis
1071,133522,154,155,2641,324,338,348,3667,3949,3953,3990,4010,4023,4846,5465,79661,0,0,0,Hyperlipidemia
1030,1495,1612,2056,2146,23236,26040,2624,3077,4066,4609,546,54790,55512,7307,8788,8837,8877,0,0,MYELODYSPLASTIC SYNDROME
10840,132,1358,1431,1504,1757,191,1958,2098,229,2597,2778,335,37,4353,468,4830,4842,4846,4878,Anoxia
10397,107,11228,1152,121256,1284,1387,1440,169044,1956,1993,201229,2033,2045,2260,22982,23314,26047,2899,2918,Small cell carcinoma of lung
101927235,102724058,10617,1106,112755,1128,1129,1131,116442,150,207,2081,213,22953,2316,23271,2348,2353,2354,2562,Epilepsy
1029,11186,1543,1571,2052,2072,2944,2952,3091,328,4029,4255,5520,5527,5529,6531,7507,7508,7515,0,Micronuclei Chromosome Defective
1312,1392,1813,1814,1965,2056,2332,27125,282808,348,3481,351,4089,4233,5021,57282,5743,590,6505,6532,Cognition Disorders
101928376,10665,22806,23228,23274,23534,3592,3594,3595,3663,4664,51300,5450,5890,6689,6775,7132,730109,79258,84961,Primary biliary cirrhosis
1312,1644,3440,4010,4128,4842,5243,5443,54487,7225,7504,0,0,0,0,0,0,0,0,0,Mental disorders
10142,1832,23171,287,3753,3757,3759,3784,5443,5728,6262,6331,6640,775,859,9992,0,0,0,0,Long QT Syndrome
100128714,1363,1489,154,1956,196,23411,2688,2778,2878,3159,3162,3164,32,3290,3483,3485,3630,3643,3667,Insulin Resistance
1152,1158,1215,1277,1281,155,1636,183,1839,186,1906,196,2335,2475,2548,4609,4878,5530,5534,58,Left Ventricular Hypertrophy
10417,2919,3383,3557,3596,4803,5742,6347,6863,7432,796,80332,8989,0,0,0,0,0,0,0,Bronchial Hyperreactivity
10736,1191,120237,1270,1387,1471,1509,1639,170825,2251,2326,2353,2554,2637,2664,2670,27040,283,2892,3297,AMYOTROPHIC LATERAL SCLEROSIS 1
1312,183,2746,284276,3480,3481,4846,4998,5972,6647,0,0,0,0,0,0,0,0,0,0,Fetal Growth Retardation
117190,2619,3244,4838,57045,5727,6469,6496,6997,7050,0,0,0,0,0,0,0,0,0,0,Holoprosencephaly
1280,1356,1401,1786,1956,196,213,2180,2182,2932,3458,3553,3565,3569,3586,3596,3605,3952,406943,4314,Arthritis Experimental
10763,1565,1839,2247,4803,4908,5020,5443,590,627,0,0,0,0,0,0,0,0,0,0,Tonic Clonic Epilepsy
1000,10061,10131,10330,10347,10528,10549,10574,10628,1075,1081,10935,11200,1182,1201,1386,1475,1508,154664,1548,Disease Progression
10269,1282,1490,183,1906,2335,23607,26762,2776,4358,4627,4628,4843,4868,5054,5111,59,64423,6696,7040,Focal glomerulosclerosis
10460,1956,2260,2261,3417,346288,4255,4792,5468,6867,7157,8216,0,0,0,0,0,0,0,0,Giant Cell Glioblastoma
10564,10577,113246,116461,127343,1859,25930,271,284111,3785,51133,54617,5813,6323,6326,8785,93627,93649,9871,0,Seizure Adverse Event
132789,2696,2813,3270,4160,5122,5443,54901,5607,627,687,7021,79068,89866,0,0,0,0,0,0,Body Weight
1268,1827,2166,2668,3064,4128,4129,4968,51447,56616,6515,9131,0,0,0,0,0,0,0,0,Huntington Disease
1021,10397,1116,1475,1476,1501,1508,1513,182,1848,1950,1956,2195,2335,23462,23476,23512,2355,23635,26136,Glioblastoma
1490,158326,1732,23414,2626,2627,3480,3482,3643,4654,53834,7490,0,0,0,0,0,0,0,0,Congenital diaphragmatic hernia
3,10318,10665,170679,170680,219285,221895,23294,23534,286016,2887,3113,3115,3119,3122,3663,3684,388,4855,54899,Systemic Scleroderma
10321,10468,1048,10561,10615,10666,10824,11009,1277,1278,1288,1289,1290,1291,1293,1298,1305,1440,1543,1591,Spontaneous abortion
9,100316847,100415894,100415895,100533107,1029,1030,1116,11170,1233,137196,1657,1755,1956,2064,2247,2260,23187,23362,23512,Glioma
2247,2670,27242,2918,3672,3673,3676,3678,3688,3690,3691,3777,5594,5595,627,7143,0,0,0,0,Gliosis
10069,10215,10311,10317,10600,10694,11096,116159,116448,150082,150084,1637,1826,1827,1859,2078,2114,23515,23562,2551,Down Syndrome
114876,1356,1786,23315,2896,351,4137,54209,54498,5819,6531,0,0,0,0,0,0,0,0,0,Dementia
101929279,1080,1268,1269,213,26471,3082,3117,3123,3630,4023,4353,5530,5644,5743,6690,6750,7442,79710,885,Pancreatitis
191,2593,2729,383,4143,4329,440275,5625,5723,728294,7508,79048,9056,0,0,0,0,0,0,0,Amino Acid Metabolism Inborn Errors
1356,1636,183,2262,2776,29108,3569,3630,3953,406919,406937,406947,4690,4868,494336,5743,5972,6648,7124,7827,Albuminuria
10699,1356,150142,1636,183,1906,2052,219736,2259,23077,2321,23526,23564,308,3162,3624,4846,5054,5177,6337,Pre Eclampsia
1000,1139,1141,120892,1268,1270,134,1356,147,1499,1644,1965,2056,2057,2114,2147,2247,23287,23400,2896,Nerve Degeneration
10461,2147,2153,2155,2161,2621,3717,4018,5327,5328,5624,5627,0,0,0,0,0,0,0,0,Thromboembolism
134,27429,3611,54205,572,57447,6647,6648,718,842,3945,3952,3953,396,3996,400500,4017,4046,406894,406902,Transient Ischemic Attack
1051,1128,120,1233,142,1636,1958,213,2147,2153,23765,27113,2876,3091,3383,3552,3553,3557,3569,3588,Brain Ischemia
10015,100188821,100286836,10085,10131,10149,10449,10466,10484,10536,10971,10989,11062,1116,1191,1192,1278,1280,1292,1311,Degenerative polyarthritis
10133,1435,23165,5131,5371,79890,81501,8792,8878,94003,0,0,0,0,0,0,0,0,0,0,Osteitis Deformans
7124,291,335,3479,3630,3816,488,6262,6696,0,0,0,0,0,0,0,0,0,0,0,Diabetic Cardiomyopathies
1409,1414,1415,1417,1421,146862,2700,4284,4810,631,7466,79443,0,0,0,0,0,0,0,0,Nuclear cataract
100126315,100126318,10014,10243,10280,1066,10919,1133,1268,1312,1385,1392,1393,1394,1395,1769,1812,1813,1814,1958,Cocaine Related Disorders
3552,3553,4511,4514,4535,4538,4540,4541,4558,4567,4572,4574,4719,6647,6648,0,0,0,0,0,MELAS Syndrome
3552,3553,3569,4553,4568,4569,4578,50484,7124,7416,0,0,0,0,0,0,0,0,0,0,Mitochondrial Myopathies
1012,1061,128674,1312,135,137868,1565,158038,1604,1812,1813,1814,1815,2052,207,2272,22913,23090,23245,23305,Amphetamine Related Disorders
10319,10617,11277,1356,1548,213,3456,3458,351,4143,4353,4968,6341,6505,7054,7248,7249,7298,80169,8635,Brain Diseases
1071,196,3240,338,3949,3953,4023,51129,5360,540,5465,5468,55219,64240,79661,8701,8876,0,0,0,Dyslipidemias
1636,2730,3115,3116,3123,3559,3569,56244,7040,7124,940,0,0,0,0,0,0,0,0,0,Berylliosis
1594,3569,4982,5741,5744,6569,7124,796,799,846,8600,9365,0,0,0,0,0,0,0,0,Hypercalcemia
100196919,5,283234,311,3115,3123,3606,56244,64127,6556,6648,7040,0,0,0,0,0,0,0,0,Sarcoidosis
10,10188,1027,1029,10397,10468,10897,1124,1149,116966,117159,121256,121551,1233,128439,130814,1375,1381,1432,1437,Neoplasms
